Date,Stock,Author,Target,LTP,Upside(%)
17 Sep 2025,Aditya Birla Capital,Motilal Oswal,340.0,289.15,17.59
17 Sep 2025,Abbott,Sharekhan,34470.0,30365.0,13.52
17 Sep 2025,CreditAccess Grameen,Axis Direct,1461.0,1363.4,7.16
17 Sep 2025,Jindal Stainless,ICICI Direct,940.0,778.95,20.68
17 Sep 2025,Indo Count,ICICI Direct,370.0,298.08,24.13
17 Sep 2025,KPR Mill,ICICI Direct,1330.0,1133.45,17.34
17 Sep 2025,Gokaldas Exports,ICICI Direct,950.0,835.55,13.70
16 Sep 2025,Vedant Fashions,Geojit BNP Paribas,890.0,717.55,24.03
16 Sep 2025,Ambuja Cements,Ventura,794.0,582.45,36.32
16 Sep 2025,JSW Infrastructure,ICICI Direct,400.0,335.8,19.12
15 Sep 2025,Cummins,Sharekhan,4500.0,4080.4,10.28
15 Sep 2025,Bharti Airtel,Geojit BNP Paribas,2123.0,1962.4,8.18
15 Sep 2025,SJS Enterprises,Anand Rathi,1750.0,1480.5,18.20
15 Sep 2025,Hindalco Industries,IDBI Capital,770.0,743.3,3.59
15 Sep 2025,NMDC,IDBI Capital,125.0,76.53,63.33
15 Sep 2025,G R Infraprojects,Axis Direct,1540.0,1323.5,16.36
15 Sep 2025,Inox Wind,Axis Direct,190.0,151.34,25.55
15 Sep 2025,Manorama Industries,Ventura,1686.0,1429.7,17.93
15 Sep 2025,Indo Count,ICICI Direct,370.0,298.08,24.13
15 Sep 2025,Astra Microwave,ICICI Direct,1320.0,1140.8,15.71
15 Sep 2025,Raymond Lifestyle,Mastertrust Broking & Investments,1525.0,1270.8,20.00
14 Sep 2025,Tata Communications,ICICI Securities Limited,2000.0,1684.4,18.74
14 Sep 2025,Aadhar Housing,ICICI Securities Limited,625.0,539.15,15.92
13 Sep 2025,Federal Bank,Axis Direct,214.0,197.92,8.12
12 Sep 2025,Marico,FundsIndia,866.0,720.15,20.25
12 Sep 2025,Star Cement,Emkay,265.0,273.45,Target met
12 Sep 2025,Eternal,Emkay,330.0,336.55,Target met
12 Sep 2025,Havells,ICICI Securities Limited,1800.0,1590.8,13.15
12 Sep 2025,Karur Vysya Bank,ICICI Securities Limited,267.0,217.18,22.94
12 Sep 2025,JK Lakshmi Cement,Axis Direct,1050.0,895.25,17.29
12 Sep 2025,Waaree Renewable,Ventura,1416.0,1091.6,29.72
12 Sep 2025,Infosys,Deven Choksey,1830.0,1540.2,18.82
11 Sep 2025,Aditya Birla Capital,Emkay,320.0,289.15,10.67
11 Sep 2025,Metro Brands,Emkay,1475.0,1311.1,12.50
11 Sep 2025,VRL Logistics,Motilal Oswal,350.0,287.3,21.82
10 Sep 2025,Coal India,Motilal Oswal,450.0,394.5,14.07
10 Sep 2025,CESC,Sharekhan,195.0,169.46,15.07
10 Sep 2025,Apex Frozen Foods,Geojit BNP Paribas,284.0,246.59,15.17
10 Sep 2025,Sagility,Geojit BNP Paribas,55.0,46.43,18.46
09 Sep 2025,Home First Finance,Ventura,1935.0,1268.9,52.49
09 Sep 2025,UltraTech Cement,Motilal Oswal,15200.0,12508.0,21.52
09 Sep 2025,Ujjivan Small Finance,ICICI Securities Limited,55.0,45.79,20.11
09 Sep 2025,CESC,ICICI Securities Limited,204.0,169.46,20.38
09 Sep 2025,Ujjivan Small Finance,Axis Direct,53.0,45.79,15.75
09 Sep 2025,Happiest Minds,Axis Direct,690.0,581.0,18.76
09 Sep 2025,Krishna Institute,ICICI Direct,875.0,744.6,17.51
09 Sep 2025,PCBL,ICICI Direct,480.0,413.55,16.07
09 Sep 2025,3M,ICICI Securities Limited,35610.0,29915.0,19.04
08 Sep 2025,Ellenbarrie Industrial Gases,Motilal Oswal,680.0,527.3,28.96
08 Sep 2025,Vedanta,ICICI Securities Limited,530.0,455.6,16.33
08 Sep 2025,Amber Enterprises,ICICI Direct,9500.0,8286.5,14.64
08 Sep 2025,Exide Industries,ICICI Direct,480.0,414.5,15.80
08 Sep 2025,ACME Solar Holdings,Mastertrust Broking & Investments,372.0,295.0,26.10
07 Sep 2025,Ceat,Emkay,4600.0,3396.2,35.45
07 Sep 2025,Samvardhana Motherson,Emkay,120.0,109.08,10.01
07 Sep 2025,Affle 3I,ICICI Securities Limited,2280.0,2145.2,6.28
07 Sep 2025,Samvardhana Motherson,ICICI Securities Limited,115.0,109.08,5.43
06 Sep 2025,Steel Strips Wheels,Axis Direct,250.0,244.01,Target met
05 Sep 2025,Gulf Oil Lubricants,FundsIndia,1497.0,1275.1,17.40
05 Sep 2025,SRF,Sharekhan,3540.0,2937.2,20.52
05 Sep 2025,Hero MotoCorp,Axis Direct,5960.0,5408.0,10.21
05 Sep 2025,TVS Motor Company,Axis Direct,3810.0,3529.4,7.95
05 Sep 2025,Britannia Industries,Axis Direct,6750.0,6069.5,11.21
05 Sep 2025,Dabur,Axis Direct,630.0,535.45,17.66
05 Sep 2025,Colgate-Palmolive,Axis Direct,2780.0,2337.9,18.91
05 Sep 2025,Nestle,Axis Direct,1340.0,1194.5,12.18
05 Sep 2025,DOMS Industries,Axis Direct,3110.0,2622.3,18.60
05 Sep 2025,Anlon Technology,Ventura,766.0,466.0,64.38
05 Sep 2025,Arvind Fashions,ICICI Direct,705.0,564.65,24.86
05 Sep 2025,Maruti Suzuki,ICICI Securities Limited,17000.0,15864.0,7.16
04 Sep 2025,Nuvoco Vistas,ICICI Direct,590.0,447.45,31.86
04 Sep 2025,Premier Explosives,ICICI Direct,680.0,622.4,9.25
04 Sep 2025,Triveni Turbine,Sharekhan,700.0,536.1,30.57
04 Sep 2025,Birla Corporation,Axis Direct,1560.0,1298.9,20.10
04 Sep 2025,Mahanagar Gas,Axis Direct,1540.0,1344.7,14.52
03 Sep 2025,L&T Finance,Motilal Oswal,260.0,246.7,5.39
03 Sep 2025,Zydus Lifesciences,Geojit BNP Paribas,1121.0,1037.3,8.07
03 Sep 2025,Zydus Wellness,Sharekhan,2688.0,515.9,Pre-Bonus/Split
03 Sep 2025,ICICI Bank,Emkay,1700.0,1402.2,21.24
03 Sep 2025,Star Health,ICICI Securities Limited,512.0,449.5,13.90
03 Sep 2025,Tech Mahindra,Axis Direct,1660.0,1553.8,6.83
03 Sep 2025,Astral,Axis Direct,1570.0,1452.4,8.10
02 Sep 2025,Zydus Wellness,Anand Rathi,2995.0,515.9,Pre-Bonus/Split
02 Sep 2025,Cipla,Sharekhan,1754.0,1575.8,11.31
02 Sep 2025,Glenmark Pharma,Deven Choksey,2300.0,2085.2,10.30
02 Sep 2025,ONGC,Geojit BNP Paribas,270.0,236.69,14.07
02 Sep 2025,Inox Wind,Axis Direct,190.0,151.34,25.55
02 Sep 2025,Navin Fluorine,Axis Direct,5140.0,4793.8,7.22
02 Sep 2025,Man Industries,Ventura,547.0,443.1,23.45
01 Sep 2025,Crompton Greaves,ICICI Direct,405.0,313.95,29.00
01 Sep 2025,Aditya Birla Lifestyle Brands,Emkay,170.0,141.44,20.19
01 Sep 2025,UltraTech Cement,Emkay,14700.0,12508.0,17.52
01 Sep 2025,Phoenix Mills,Motilal Oswal,2044.0,1629.8,25.41
01 Sep 2025,Krsnaa Diagnostics,invest4Edu,1066.0,839.4,27.00
01 Sep 2025,Suzlon Energy,Motilal Oswal,80.0,60.4,32.45
01 Sep 2025,JK Cement,ICICI Securities Limited,8500.0,6862.0,23.87
01 Sep 2025,Kalpataru,Axis Direct,1470.0,391.2,
01 Sep 2025,ITC,Deven Choksey,512.0,410.65,24.68
01 Sep 2025,Hyundai Motor,NDA Securities,3018.0,2809.3,7.43
30 Aug 2025,SRF,Motilal Oswal,3650.0,2937.2,24.27
30 Aug 2025,Nestle,Axis Direct,1270.0,1194.5,6.32
29 Aug 2025,Vishal Mega Mart,FundsIndia,177.0,152.35,16.18
29 Aug 2025,Ugro Capital,Keynote Capitals Ltd,216.0,168.62,28.10
29 Aug 2025,Info Edge,Geojit BNP Paribas,1561.0,1376.1,13.44
